Sl,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,Serious Cases,Total Cases/1M Pop,Deaths/1M Pop,Total Tests,Tests/1M Pop,Population
89,Slovenia,"1,466",+1,104 ,+1,273,"1,089",5,705,50,"69,363","33,365", 
90,DRC,"1,455",,61 ,,270,"1,124",,16,0.7,,, 
91,Somalia,"1,421",+64,56 ,+1,152,"1,213",2,90,4,,, 
92,Djibouti,"1,401",+70,4 ,,972,425,,"1,421",4,"17,532","17,778", 
93,Mayotte,"1,342",+30,18 ,,627,697,10,"4,935",66,"5,200","19,122", 
94,El Salvador,"1,338",+73,27 ,+1,462,849,23,206,4,"55,694","8,592", 
95,Gabon,"1,320",,11 ,,244,"1,065",10,595,5,"7,445","3,355", 
96,Kyrgyzstan,"1,138",+21,14 ,,804,320,5,175,2,"59,490","9,138", 
97,Maldives,"1,094",+16,4 ,,58,"1,032",9,"2,029",7,"11,775","21,833", 
98,Hong Kong,"1,056",+3,4 ,,"1,024",28,1,141,0.5,"168,291","22,470", 
99,Tunisia,"1,037",,45 ,,807,185,3,88,4,"39,778","3,370", 
100,Latvia,"1,008",+11,19 ,,662,327,2,534,10,"88,405","46,810", 
101,Guinea-Bissau,990,+21,4 ,,26,960,,505,2,"1,500",765, 
102,Sri Lanka,981,+24,9 ,,538,434,1,46,0.4,"43,137","2,016", 
103,Albania,946,+13,31 ,,715,200,1,329,11,"12,024","4,178", 
104,Cyprus,916,+2,17 ,,515,384,10,759,14,"87,549","72,578", 
105,Lebanon,911,+9,26 ,,247,638,3,133,4,"61,479","9,003", 
106,Niger,904,+15,54 ,+3,698,152,,38,2,"5,816",241, 
107,Kenya,887,+57,50 ,,313,524,1,17,0.9,"43,712",815, 
108,Costa Rica,863,+10,10 ,,565,288,3,170,2,"20,115","3,953", 
109,Mali,860,+25,52 ,+4,494,314,,43,3,"3,383",168, 
110,Burkina Faso,796,+14,51 ,,644,101,,38,2,,, 
111,Paraguay,786,+8,11 ,,202,573,,110,2,"20,124","2,826", 
112,Andorra,761,,51 ,,617,93,3,"9,851",660,"3,750","48,544", 
113,Zambia,753,+74,7 ,,188,558,1,41,0.4,"17,354",948, 
114,Uruguay,733,,19 ,,558,156,5,211,5,"33,036","9,514", 
115,,712,,13 ,,651,48,4,,,,, 
116,Georgia,695,+12,12 ,,425,258,6,174,3,"36,248","9,085", 
117,San Marino,654,+1,41 ,,201,412,1,"19,280","1,209","3,499","103,148", 
118,Jordan,613,+6,9 ,,408,196,5,60,0.9,"144,356","14,166", 
119,Equatorial Guinea,594,,7 ,,22,565,,425,5,854,611, 
120,Channel Islands,554,,43 ,,458,53,,"3,190",248,"5,342","30,761", 
121,Malta,553,+7,6 ,,454,93,1,"1,253",14,"50,616","114,671", 
122,Jamaica,517,+6,9 ,,121,387,,175,3,"8,193","2,768", 
123,Tanzania,509,,21 ,,183,305,7,9,0.4,,, 
124,Sierra Leone,505,+43,32 ,+3,141,332,,63,4,,, 
125,Venezuela,504,,10 ,,241,253,1,18,0.4,"540,236","18,992",  
126,Chad,503,+29,53 ,+3,117,333,,31,3,,, 
127,Réunion,443,, ,,354,89,4,495,,"17,200","19,228", 
128,Taiwan,440,,7 ,,395,38,,18,0.3,"69,206","2,906", 
129,Congo,391,,15 ,,87,289,,71,3,,, 
130,Palestine,381,+5,2 ,,335,44,,75,0.4,"44,876","8,824", 
131,Haiti,358,,20 ,,29,309,,31,2,"1,669",147, 
132,Benin,339,,2 ,,83,254,,28,0.2,"25,471","2,108", 
133,Isle of Man,335,,24 ,,285,26,9,"3,942",282,"4,102","48,271", 
134,Mauritius,332,,10 ,,322,0,,261,8,"86,887","68,334", 
135,Cabo Verde,328,,3 ,,84,241,,591,5,892,"1,607", 
136,CAR,327,, ,,13,314,,68,,"3,498",726, 
137,Montenegro,324,,9 ,,311,4,2,516,14,"10,167","16,188", 
138,Vietnam,320,+2, ,,260,60,2,3,,"275,000","2,828", 
139,Ethiopia,317,+11,5 ,,113,199,,3,0.04,"57,254",500, 
140,Madagascar,304,+21,1 ,+1,114,189,2,11,0.04,"5,670",205, 
141,Togo,301,+3,11 ,,104,186,,36,1,"12,613","1,528", 
142,Nepal,295,+14,2 ,+1,36,257,,10,0.07,"92,440","3,180", 
143,Rwanda,292,+3, ,,197,95,,23,,"49,374","3,825", 
144,South Sudan,290,+54,4 ,,4,282,,26,0.4,"3,356",300, 
145,Sao Tome and Principe,235,,7 ,,4,224,,"1,075",32,175,800, 
146,Uganda,227,, ,,63,164,,5,,"72,161","1,584", 
147,Liberia,226,+3,21 ,+1,120,85,,45,4,,, 
148,Eswatini,203,+1,2 ,,73,128,,175,2,"4,160","3,590", 
149,French Guiana,197,,1 ,,125,71,,662,3,,, 
150,Martinique,192,,14 ,,91,87,,512,37,,, 
151,Faeroe Islands,187,, ,,187,0,,"3,829",,"8,863","181,470", 
152,Myanmar,184,+2,6 ,,97,81,,3,0.1,"13,634",251, 
153,Guadeloupe,155,,13 ,,109,33,3,387,32,"2,866","7,163", 
154,Gibraltar,147,, ,,145,2,,"4,363",,"5,060","150,184", 
155,Brunei ,141,,1 ,,136,4,2,323,2,"16,892","38,658", 
156,Mozambique,137,+8, ,,44,93,,4,,"6,011",193, 
